order_id,order_date,ship_date,region,segment,category,sub_category,product_name,sales,profit,discount,quantity,ship_mode
CA-2016-152156,11/8/2016,11/11/2016,South,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,41.9136,0,2,Second Class
CA-2016-152156,11/8/2016,11/11/2016,South,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.582,0,3,Second Class
CA-2016-138688,6/12/2016,6/16/2016,West,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.8714,0,2,Second Class
US-2015-108966,10/11/2015,10/18/2015,South,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031,0.45,5,Standard Class
US-2015-108966,10/11/2015,10/18/2015,South,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.5164,0.2,2,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.1694,0,7,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Office Supplies,Art,Newell 322,7.28,1.9656,0,4,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,90.7152,0.2,6,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.7825,0.2,3,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47,0,5,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,85.3092,0.2,9,Standard Class
CA-2014-115812,6/9/2014,6/14/2014,West,Consumer,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,68.3568,0.2,4,Standard Class
CA-2017-114412,4/15/2017,4/20/2017,South,Consumer,Office Supplies,Paper,Xerox 1967,15.552,5.4432,0.2,3,Standard Class
CA-2016-161389,12/5/2016,12/10/2016,West,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922,0.2,3,Standard Class
US-2015-118983,11/22/2015,11/26/2015,Central,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.858,0.8,5,Standard Class
US-2015-118983,11/22/2015,11/26/2015,Central,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816,0.8,3,Standard Class
CA-2014-105893,11/11/2014,11/18/2014,Central,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.3176,0,6,Standard Class
CA-2014-167164,5/13/2014,5/15/2014,West,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,9.99,0,2,Second Class
CA-2014-143336,8/27/2014,9/1/2014,West,Consumer,Office Supplies,Art,Newell 341,8.56,2.4824,0,2,Second Class
CA-2014-143336,8/27/2014,9/1/2014,West,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,213.48,16.011,0.2,3,Second Class
CA-2014-143336,8/27/2014,9/1/2014,West,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,7.384,0.2,4,Second Class
CA-2016-137330,12/9/2016,12/13/2016,Central,Corporate,Office Supplies,Art,Newell 318,19.46,5.0596,0,7,Standard Class
CA-2016-137330,12/9/2016,12/13/2016,Central,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,15.6884,0,7,Standard Class
US-2017-156909,7/16/2017,7/18/2017,East,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,-1.0196,0.3,2,Second Class
CA-2015-106320,9/25/2015,9/30/2015,West,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,240.2649,0,3,Standard Class
CA-2016-121755,1/16/2016,1/20/2016,West,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,4.2224,0.2,2,Second Class
CA-2016-121755,1/16/2016,1/20/2016,West,Consumer,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57,11.7741,0,3,Second Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.0522,0.5,7,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,-7.0532,0.7,2,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,15.525,0.2,3,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,1.1016,0.2,2,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,9.7092,0.2,6,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,-5.715,0.7,6,Standard Class
US-2015-150630,9/17/2015,9/21/2015,East,Consumer,Office Supplies,Art,Lumber Crayons,15.76,3.546,0.2,2,Standard Class
CA-2017-107727,10/19/2017,10/23/2017,Central,Home Office,Office Supplies,Paper,Easy-staple paper,29.472,9.9468,0.2,3,Second Class
CA-2016-117590,12/8/2016,12/10/2016,Central,Corporate,Technology,Phones,GE 30524EE4,1097.544,123.4737,0.2,7,First Class
CA-2016-117590,12/8/2016,12/10/2016,Central,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.963,0.6,5,First Class
CA-2015-117415,12/27/2015,12/31/2015,Central,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,35.415,0.2,9,Standard Class
CA-2015-117415,12/27/2015,12/31/2015,Central,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,-46.9764,0.32,3,Standard Class
CA-2015-117415,12/27/2015,12/31/2015,Central,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,-15.147,0.3,3,Standard Class
CA-2015-117415,12/27/2015,12/31/2015,Central,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,41.7564,0.2,4,Standard Class
CA-2017-120999,9/10/2017,9/15/2017,Central,Corporate,Technology,Phones,Panasonic Kx-TS550,147.168,16.5564,0.2,4,Standard Class
CA-2016-101343,7/17/2016,7/22/2016,West,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,3.894,0,2,Standard Class
CA-2017-139619,9/19/2017,9/23/2017,South,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,9.5616,0.2,2,Standard Class
CA-2016-118255,3/11/2016,3/13/2016,Central,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,19.7714,0,2,First Class
CA-2016-118255,3/11/2016,3/13/2016,Central,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,8.2062,0,2,First Class
CA-2014-146703,10/20/2014,10/25/2014,Central,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,8.4784,0,4,Second Class
CA-2016-169194,6/20/2016,6/25/2016,East,Consumer,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45.0,4.95,0,3,Standard Class
CA-2016-169194,6/20/2016,6/25/2016,East,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,6.104,0,2,Standard Class
CA-2015-115742,4/18/2015,4/22/2015,Central,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,17.9634,0,6,Standard Class
CA-2015-115742,4/18/2015,4/22/2015,Central,Consumer,Office Supplies,Labels,Avery 485,75.18,35.3346,0,6,Standard Class
CA-2015-115742,4/18/2015,4/22/2015,Central,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.9568,0,2,Standard Class
CA-2015-115742,4/18/2015,4/22/2015,Central,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,17.0981,0,1,Standard Class
CA-2016-105816,12/11/2016,12/17/2016,East,Corporate,Office Supplies,Fasteners,Advantus Push Pins,15.26,6.2566,0,7,Standard Class
CA-2016-105816,12/11/2016,12/17/2016,East,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,298.6855,0,5,Standard Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,208.56,52.14,0,6,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Office Supplies,Paper,Xerox 232,32.4,15.552,0,5,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,319.41,7.098,0.1,5,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,6.9888,0,2,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30.0,3.3,0,2,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Office Supplies,Binders,Plastic Binding Combs,48.48,16.362,0.2,4,First Class
CA-2016-111682,6/17/2016,6/18/2016,East,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,0.84,0,1,First Class
CA-2015-135545,11/24/2015,11/30/2015,West,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,6.1512,0,2,Standard Class
CA-2015-135545,11/24/2015,11/30/2015,West,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,9.3612,0.2,6,Standard Class
CA-2015-135545,11/24/2015,11/30/2015,West,Consumer,Office Supplies,Paper,Xerox 1943,146.73,68.9631,0,3,Standard Class
CA-2015-135545,11/24/2015,11/30/2015,West,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,22.3328,0,4,Standard Class
US-2015-164175,4/30/2015,5/5/2015,Central,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,-15.2225,0.3,5,Standard Class
CA-2014-106376,12/5/2014,12/10/2014,West,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,111.3024,0.2,8,Standard Class
CA-2014-106376,12/5/2014,12/10/2014,West,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,62.988,0.2,4,Standard Class
CA-2016-119823,6/4/2016,6/6/2016,South,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,35.6636,0,2,First Class
CA-2016-106075,9/18/2016,9/23/2016,East,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.731,0.2,1,Standard Class
