product_name,category,total_sales,total_profit
"""While you Were Out"" Message Book, One Form per Page",Office Supplies,25.228,10.388
"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,41.3,16.7678
#10 Self-Seal White Envelopes,Office Supplies,108.682,52.123
"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,488.904,223.1408
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,286.672,115.2806
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,146.688,64.8636
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,176.288,63.747
#6 3/4 Gummed Flap White Envelopes,Office Supplies,71.28,24.948
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,2706.08,578.6848
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Office Supplies,49.98,22.7115
12 Colored Short Pencils,Office Supplies,18.2,3.016
12-1/2 Diameter Round Wall Clock,Furniture,551.448,91.1088
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,422.752,172.944
2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,344.724,20.9832
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,3537.24,536.9025
24-Hour Round Wall Clock,Furniture,487.512,180.0198
3-ring staple pack,Office Supplies,42.112,16.6944
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,2946.2,-872.0752
36X48 HARDFLOOR CHAIRMAT,Furniture,369.248,-40.4914
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,14299.89,3717.9714
"3D Systems Cube Printer, 2nd Generation, White",Technology,2339.982,-467.9964
3M Hangers With Command Adhesive,Furniture,108.04,36.001
3M Office Air Cleaner,Office Supplies,259.8,90.93
3M Organizer Strips,Office Supplies,83.16,10.152
3M Polarizing Light Filter Sleeves,Furniture,216.34,75.346
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,2191.68,569.8368
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,303.36,-20.4768
4009 Highlighters,Office Supplies,8.04,2.7336
4009 Highlighters by Sanford,Office Supplies,171.14,53.8096
50 Colored Long Pencils,Office Supplies,138.176,32.9184
"6"" Cubicle Wall Clock, Black",Furniture,124.586,26.2116
9-3/4 Diameter Round Wall Clock,Furniture,455.07,183.1312
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,147.028,50.7164
ACCOHIDE Binder by Acco,Office Supplies,65.254,19.2871
APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,1207.2,80.48
ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,216.96,-15.594
AT&T 1070 Corded Phone,Technology,1070.304,133.788
AT&T 1080 Corded phone,Technology,1945.258,145.2094
AT&T 1080 Phone,Technology,1589.084,271.2402
AT&T 17929 Lendline Telephone,Technology,1339.104,167.388
AT&T 841000 Phone,Technology,1614.6,165.6
AT&T CL2909,Technology,755.94,50.396
AT&T CL82213,Technology,481.234,131.3247
AT&T CL83451 4-Handset Telephone,Technology,1936.306,473.777
AT&T EL51110 DECT,Technology,377.97,109.6113
AT&T SB67148 SynJ,Technology,475.128,89.7464
AT&T TR1909W,Technology,1738.662,340.173
Aastra 57i VoIP phone,Technology,3684.708,575.3316
Aastra 6757i CT Wireless VoIP phone,Technology,2929.984,482.5856
Acco 3-Hole Punch,Office Supplies,137.532,55.5384
Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,38.272,-3.6608
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,289.456,-113.7672
Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,432.432,60.424
Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,149.916,22.971
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,3039.5,401.214
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,40.896,18.0
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Office Supplies,66.03,30.2815
Acco D-Ring Binder w/DublLock,Office Supplies,235.18,-102.8378
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Office Supplies,287.868,64.1445
Acco Economy Flexible Poly Round Ring Binder,Office Supplies,11.484,-5.742
Acco Expandable Hanging Binders,Office Supplies,38.918,1.0208
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,410.004,111.2868
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,122.18,7.45
Acco Glide Clips,Office Supplies,19.6,9.604
Acco Hanging Data Binders,Office Supplies,41.91,8.2296
Acco Hot Clips Clips to Go,Office Supplies,67.116,25.4975
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,175.388,73.8674
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Office Supplies,62.946,-0.161399999999999
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",Office Supplies,67.25,19.6908
Acco Perma 2700 Stacking Storage Drawers,Office Supplies,208.18,5.948
Acco Perma 3000 Stacking Storage Drawers,Office Supplies,373.444,16.5742
Acco Perma 4000 Stacking Storage Drawers,Office Supplies,457.968,30.044
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Office Supplies,59.817,13.1826
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,63.627,-13.9065
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Office Supplies,131.097,18.4125
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,91.44,34.8996
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",Office Supplies,85.255,8.67
Acco Side-Punched Conventional Columnar Pads,Office Supplies,41.64,-7.8075
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,343.076,81.5452
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Office Supplies,448.902,-7.0416
